#desk numbers generated by gendesk.cgi Wed Apr 24 16:20:50 BST 2013						
18-Mar	15:00	344+308	C350	b3	1	884756
18-Mar	15:00	344+308	C350	b3	2	632912
18-Mar	15:00	344+308	C350	b3	3	501587
18-Mar	15:00	344+308	C350	b3	4	931930
18-Mar	15:00	344+308	C350	b3	5	311208
18-Mar	15:00	344+308	C350	b3	6	791342
18-Mar	15:00	344+308	C350	b3	7	656168
18-Mar	15:00	344+308	C350	b3	8	813940
18-Mar	15:00	344+308	C350	b3	9	432913
18-Mar	15:00	344+308	C350	b3	10	978970
18-Mar	15:00	344+308	C350	b3	11	371065
18-Mar	15:00	144	C350	b3	1	274369
18-Mar	15:00	344+308	C350	b3	12	193280
18-Mar	15:00	344+308	C350	b3	13	646489
18-Mar	15:00	344+308	C350	b3	14	806002
18-Mar	15:00	344+308	C350	b3	15	713574
18-Mar	15:00	344+308	C350	b3	16	754489
18-Mar	15:00	344+308	C350	b3	17	629466
18-Mar	15:00	344+308	C350	b3	18	702402
18-Mar	15:00	344+308	C350	b3	19	982611
18-Mar	15:00	344+308	C350	b3	20	917621
18-Mar	15:00	344+308	C350	b3	21	313304
18-Mar	15:00	344+308	C350	b3	22	638593
18-Mar	15:00	344+308	C350	b3	23	685175
18-Mar	15:00	344+308	C350	b3	24	920920
18-Mar	15:00	344+308	C350	b3	25	534959
18-Mar	15:00	344+308	C350	b3	26	146212
18-Mar	15:00	344+308	C350	b3	27	296636
18-Mar	15:00	344+308	C350	b3	28	703357
18-Mar	15:00	210	C350	b3	1	870864
18-Mar	15:00	344+308	C350	b3	29	224579
18-Mar	15:00	344+308	C350	b3	30	588114
18-Mar	15:00	344+308	C350	m3	31	503777
18-Mar	15:00	344+308	C350	m3	32	626166
18-Mar	15:00	344+308	C350	m3	33	520044
18-Mar	15:00	344+308	C350	m3	34	714985
18-Mar	15:00	344+308	C350	m3	35	417509
18-Mar	15:00	344+308	C350	m3	36	176213
18-Mar	15:00	344+308	C350	m3	37	528925
18-Mar	15:00	344+308	C350	m3	38	750423
18-Mar	15:00	344+308	C350	m3	39	155184
18-Mar	15:00	344+308	C350	m3	40	799990
18-Mar	15:00	344+308	C350	m3	41	924792
18-Mar	15:00	344+308	C350	m3	42	248464
18-Mar	15:00	344+308	C350	m3	43	446480
18-Mar	15:00	344+308	C350	m3	44	730794
18-Mar	15:00	344+308	C350	m3	45	862039
18-Mar	15:00	344+308	C350	m3	46	200970
18-Mar	15:00	344+308	C350	m3	47	360261
18-Mar	15:00	344+308	C350	m3	48	564441
18-Mar	15:00	344+308	C350	m3	49	183581
18-Mar	15:00	344+308	C350	m3	50	277883
18-Mar	15:00	344+308	C350	m3	51	777746
18-Mar	15:00	344+308	C350	m3	52	722175
18-Mar	15:00	344+308	C350	m3	53	863058
18-Mar	15:00	344+308	C350	m3	54	698666
18-Mar	15:00	344+308	C350	m3	55	257134
18-Mar	15:00	344+308	C350	m3	56	909271
18-Mar	15:00	344+308	C350	m3	57	895302
18-Mar	15:00	344+308	C350	m3	58	860492
